Customer_ID,Company_Name,Industry,Country,Company_Size,Account_Manager,Plan_Tier,Billing_Cycle,Monthly_Recurring_Revenue,Signup_Date,Last_Active_Date,Payment_Status,Active_Seats_Used,Total_Seats_Allowed,Support_Tickets_30d,Feature_Adoption_Rate,Churn_Risk_Score,Is_Churned
CUST-1001,Pulse Net 944,HealthTech,Australia,Nov-50,Sarah Jenkins,Starter,Annual,49,12/03/2025,18/02/2026,Active,3,8,5,44%,Low,0
CUST-1002,Pulse Logic 332,CyberSecurity,USA,51-200,David Ross,Pro,Annual,499,29/09/2023,25/02/2026,Active,13,24,3,58%,Low,0
CUST-1003,Secure Flow 975,DevTools,India,01-Oct,David Ross,Starter,Monthly,79,16/03/2025,19/02/2026,Active,6,8,5,70%,Low,0
CUST-1004,Quantum Scale 657,EdTech,Singapore,51-200,Marcus Vance,Pro,Annual,249,05/03/2024,22/02/2026,Active,34,39,2,90%,Low,0
CUST-1005,Quantum Sphere 308,E-Commerce,Germany,01-Oct,Aisha Khan,Starter,Monthly,129,28/02/2025,22/02/2026,Active,8,9,3,93%,Low,0
CUST-1006,Data Flow 657,MarTech,Germany,01-Oct,Aisha Khan,Starter,Monthly,99,08/09/2024,21/02/2026,Active,3,7,2,60%,Low,0
CUST-1007,Data Flow 200,E-Commerce,USA,201-500,Elena Rostova,Enterprise,Monthly,5312,28/12/2025,16/02/2026,Active,322,704,5,49%,Low,0
CUST-1008,Quantum Scale 316,MarTech,Australia,01-Oct,Marcus Vance,Starter,Monthly,79,27/12/2023,15/02/2026,Pending,6,9,4,65%,Low,0
CUST-1009,Pulse Tech 709,EdTech,Australia,Nov-50,Sarah Jenkins,Starter,Annual,79,14/09/2024,22/02/2026,Active,4,7,2,59%,Low,0
CUST-1010,Vibe Logic 639,Logistics,USA,01-Oct,Sarah Jenkins,Starter,Monthly,99,07/10/2025,15/02/2026,Active,6,9,5,63%,Low,0
CUST-1011,Omni Net 960,DevTools,UK,01-Oct,Sarah Jenkins,Starter,Monthly,79,15/06/2025,28/02/2026,Active,1,4,7,49%,Low,0
CUST-1012,Secure Scale 147,DevTools,Canada,201-500,Sarah Jenkins,Enterprise,Annual,6337,20/03/2025,24/02/2026,Active,388,562,1,79%,Low,0
CUST-1013,Quantum Labs 524,Logistics,Germany,51-200,Elena Rostova,Pro,Monthly,499,25/09/2023,22/02/2026,Active,26,59,7,42%,Low,0
CUST-1014,Quantum Metrics 500,EdTech,USA,01-Oct,David Ross,Starter,Annual,49,07/07/2023,26/02/2026,Active,4,6,2,88%,Low,0
CUST-1015,Vibe Scale 550,CyberSecurity,France,201-500,Marcus Vance,Pro,Monthly,499,16/09/2023,28/02/2026,Active,22,30,2,68%,Low,0
CUST-1016,Secure Tech 596,E-Commerce,Australia,51-200,David Ross,Pro,Monthly,399,11/06/2023,19/02/2026,Active,25,42,5,65%,Low,0
CUST-1017,Cloud Tech 339,DevTools,Australia,51-200,Elena Rostova,Pro,Monthly,299,22/09/2025,26/02/2026,Active,54,55,0,99%,Low,0
CUST-1018,Omni Solutions 440,CyberSecurity,Singapore,51-200,David Ross,Pro,Annual,299,16/08/2024,28/02/2026,Active,22,53,7,34%,Low,0
